row_id,small_molecule_name,drug_key,drug_group,reference,surfactant_name,solvent,EE_is_zero,EE,mol_MW,mol_logP,mol_TPSA,mol_melting_point,mol_Hacceptors,mol_Hdonors,mol_heteroatoms,polymer_MW,drug/polymer,surfactant_concentration,aqueous/organic,surfactant_HLB,solvent_polarity_index,pH_-1,pH_0,pH_1,pH_missing,LAGA_1,LAGA_1.86,LAGA_2.33,LAGA_3,LAGA_5.67
0,sparfloxacin,sparfloxacin,sparfloxacin,10.1016/j.nano.2009.10.004,PVA,acetone,False,25.18,0.15635645879954835,-0.6803134906845477,0.5091130273896574,1.7031069889728383,0.5370260769713147,1.1067016460012287,0.9082968122729463,-0.6484813663703282,5.978259191800133,1.2472822341929806,-0.07560095358433751,-0.12216273697564192,-0.23051884107549298,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,sparfloxacin,sparfloxacin,sparfloxacin,10.1016/j.nano.2009.10.004,PVA,acetone,False,44.83,0.15635645879954835,-0.6803134906845477,0.5091130273896574,1.7031069889728383,0.5370260769713147,1.1067016460012287,0.9082968122729463,-0.6484813663703282,2.4190818145757853,1.2472822341929806,-0.07560095358433751,-0.12216273697564192,-0.23051884107549298,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,sparfloxacin,sparfloxacin,sparfloxacin,10.1016/j.nano.2009.10.004,PVA,acetone,False,51.83,0.15635645879954835,-0.6803134906845477,0.5091130273896574,1.7031069889728383,0.5370260769713147,1.1067016460012287,0.9082968122729463,-0.6484813663703282,0.2835753882411772,1.2472822341929806,-0.07560095358433751,-0.12216273697564192,-0.23051884107549298,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,sparfloxacin,sparfloxacin,sparfloxacin,10.1016/j.nano.2009.10.004,PVA,acetone,False,86.6,0.15635645879954835,-0.6803134906845477,0.5091130273896574,1.7031069889728383,0.5370260769713147,1.1067016460012287,0.9082968122729463,-0.6484813663703282,-0.42826008720369235,1.2472822341929806,-0.07560095358433751,-0.12216273697564192,-0.23051884107549298,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,sparfloxacin,sparfloxacin,sparfloxacin,10.1016/j.nano.2009.10.004,PVA,acetone,False,60.6,0.15635645879954835,-0.6803134906845477,0.5091130273896574,1.7031069889728383,0.5370260769713147,1.1067016460012287,0.9082968122729463,-0.6484813663703282,-0.7841778249261271,1.2472822341929806,-0.07560095358433751,-0.12216273697564192,-0.23051884107549298,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,diazepam,diazepam,diazepam,10.1208/s12249-015-0294-0,poloxamer407,acetone,False,82.0,-0.5275660240299075,0.07544437942666364,-1.0306721986113907,-0.5758981167766616,-0.8457356781045259,-1.14510454223471,-0.7056190111872477,0.43551135711395467,-0.9336632747695497,-1.0453350514635897,-0.07560095358433751,0.17071179970771083,-0.23051884107549298,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,diazepam,diazepam,diazepam,10.1208/s12249-015-0294-0,poloxamer407,acetone,False,88.0,-0.5275660240299075,0.07544437942666364,-1.0306721986113907,-0.5758981167766616,-0.8457356781045259,-1.14510454223471,-0.7056190111872477,0.43551135711395467,-0.1221708327623986,-1.0453350514635897,-0.07560095358433751,0.17071179970771083,-0.23051884107549298,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,diazepam,diazepam,diazepam,10.1208/s12249-015-0294-0,poloxamer407,acetone,False,77.0,-0.5275660240299075,0.07544437942666364,-1.0306721986113907,-0.5758981167766616,-0.8457356781045259,-1.14510454223471,-0.7056190111872477,0.43551135711395467,0.9954108636860465,0.10097359136469539,0.30843224241406964,0.17071179970771083,-0.23051884107549298,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,diazepam,diazepam,diazepam,10.1208/s12249-015-0294-0,poloxamer407,acetone,False,81.0,-0.5275660240299075,0.07544437942666364,-1.0306721986113907,-0.5758981167766616,-0.8457356781045259,-1.14510454223471,-0.7056190111872477,0.43551135711395467,-0.9336632747695497,0.10097359136469539,-0.4596341495827446,0.17071179970771083,-0.23051884107549298,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,diazepam,diazepam,diazepam,10.1208/s12249-015-0294-0,poloxamer407,acetone,False,82.0,-0.5275660240299075,0.07544437942666364,-1.0306721986113907,-0.5758981167766616,-0.8457356781045259,-1.14510454223471,-0.7056190111872477,0.43551135711395467,0.9954108636860465,-1.0453350514635897,-0.07560095358433751,0.17071179970771083,-0.23051884107549298,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
