row_id,small_molecule_name,drug_key,drug_group,reference,surfactant_name,solvent,EE_is_zero,EE,mol_MW,mol_logP,mol_TPSA,mol_melting_point,mol_Hacceptors,mol_Hdonors,mol_heteroatoms,polymer_MW,drug/polymer,surfactant_concentration,aqueous/organic,surfactant_HLB,solvent_polarity_index,pH,LA/GA,pH_cat,LAGA_cat
0,sparfloxacin,sparfloxacin,sparfloxacin,10.1016/j.nano.2009.10.004,PVA,acetone,False,25.18,392.41,2.08,100.59,267.5,6,3,9,14.0,1.0,1.5,4.0,18.0,5.1,0.0,1.0,0,1
1,sparfloxacin,sparfloxacin,sparfloxacin,10.1016/j.nano.2009.10.004,PVA,acetone,False,44.83,392.41,2.08,100.59,267.5,6,3,9,14.0,0.5,1.5,4.0,18.0,5.1,0.0,1.0,0,1
2,sparfloxacin,sparfloxacin,sparfloxacin,10.1016/j.nano.2009.10.004,PVA,acetone,False,51.83,392.41,2.08,100.59,267.5,6,3,9,14.0,0.2,1.5,4.0,18.0,5.1,0.0,1.0,0,1
3,sparfloxacin,sparfloxacin,sparfloxacin,10.1016/j.nano.2009.10.004,PVA,acetone,False,86.6,392.41,2.08,100.59,267.5,6,3,9,14.0,0.1,1.5,4.0,18.0,5.1,0.0,1.0,0,1
4,sparfloxacin,sparfloxacin,sparfloxacin,10.1016/j.nano.2009.10.004,PVA,acetone,False,60.6,392.41,2.08,100.59,267.5,6,3,9,14.0,0.05,1.5,4.0,18.0,5.1,0.0,1.0,0,1
5,diazepam,diazepam,diazepam,10.1208/s12249-015-0294-0,poloxamer407,acetone,False,82.0,284.75,3.15,32.67,132.0,2,0,4,45.0,0.029,0.2,4.0,20.5,5.1,0.0,1.0,0,1
6,diazepam,diazepam,diazepam,10.1208/s12249-015-0294-0,poloxamer407,acetone,False,88.0,284.75,3.15,32.67,132.0,2,0,4,45.0,0.143,0.2,4.0,20.5,5.1,0.0,1.0,0,1
7,diazepam,diazepam,diazepam,10.1208/s12249-015-0294-0,poloxamer407,acetone,False,77.0,284.75,3.15,32.67,132.0,2,0,4,45.0,0.3,0.85,6.0,20.5,5.1,0.0,1.0,0,1
8,diazepam,diazepam,diazepam,10.1208/s12249-015-0294-0,poloxamer407,acetone,False,81.0,284.75,3.15,32.67,132.0,2,0,4,45.0,0.029,0.85,2.0,20.5,5.1,0.0,1.0,0,1
9,diazepam,diazepam,diazepam,10.1208/s12249-015-0294-0,poloxamer407,acetone,False,82.0,284.75,3.15,32.67,132.0,2,0,4,45.0,0.3,0.2,4.0,20.5,5.1,0.0,1.0,0,1
