model,fold,n_train,n_test,test_groups,R2,MAE,RMSE
Linear Regression (baseline),1,344,86,12,-0.43729798371539164,17.50251122590164,21.242587693110075
Linear Regression (baseline),2,344,86,13,0.2087739561914176,20.85977176212586,26.38732725782328
Linear Regression (baseline),3,344,86,13,-2.289652049294063,30.21476138587412,33.30715089850438
Linear Regression (baseline),4,344,86,12,-1.300042436756506,23.287180764494032,27.240726395128345
Linear Regression (baseline),5,344,86,13,-1.6377539193815611,31.736642063758058,42.03335965092074
Random Forest,1,344,86,12,-0.6539882433588369,17.654333141800052,22.78768569577845
Random Forest,2,344,86,13,0.31754166305766773,20.186845565706903,24.506607098745988
Random Forest,3,344,86,13,-0.04256338841114138,14.034751544850506,18.750538174053492
Random Forest,4,344,86,12,-0.5035326217003537,17.779790096437807,22.024557280350443
Random Forest,5,344,86,13,0.5033931840300745,13.821163951181246,18.238255827649024
XGBoost,1,344,86,12,-1.7609836722362595,24.874267877977946,29.44190660948038
XGBoost,2,344,86,13,0.18845025346441036,23.45375164985657,26.724075466927886
XGBoost,3,344,86,13,-1.0471521356621096,20.35220189249793,26.27468764255658
XGBoost,4,344,86,12,-0.13943905526630873,14.973592800539596,19.173275394790597
XGBoost,5,344,86,13,0.29709985972083486,16.77999210759651,21.698203613700496
SVR (RBF),1,344,86,12,-0.17375511738637117,16.03581127229744,19.196531283627984
SVR (RBF),2,344,86,13,0.29063644552631274,20.246885912608807,24.985011408779584
SVR (RBF),3,344,86,13,-0.7648234667468872,19.32450666089033,24.395691756561177
SVR (RBF),4,344,86,12,-0.6282743828894535,19.65062903997599,22.919996915461056
SVR (RBF),5,344,86,13,0.29429674053044574,16.397756930248306,21.741426063733584
DummyRegressor (reference),1,344,86,12,-0.7229425208924309,21.051857760951865,23.257841482837115
DummyRegressor (reference),2,344,86,13,-0.07852638569527004,23.97451325040562,30.807787035028554
DummyRegressor (reference),3,344,86,13,-0.0927702816278071,14.62704840454299,19.19671601394761
DummyRegressor (reference),4,344,86,12,-0.04231022750267943,14.596203353163872,18.337885609698763
DummyRegressor (reference),5,344,86,13,-0.035176521890774914,22.03441860465116,26.33201974144095
