model,seed,OOF_MAE,OOF_RMSE,OOF_R2
Linear Regression (baseline),0,24.916746032531105,30.724781591866606,-0.7120479234071242
Random Forest,0,21.373753419804352,28.264614154603294,-0.4488533553220766
XGBoost,0,22.88655867734066,29.500779780958947,-0.5783572146642346
SVR (RBF),0,19.837157765687234,24.411141745012497,-0.0807232468600041
DummyRegressor (reference),0,18.830695033137005,23.57194373176786,-0.0076949913070281095
Linear Regression (baseline),1,27.899840784986864,34.17572697438295,-1.118233496728728
Random Forest,1,18.243868031150374,22.93433665776547,0.04608280983535895
XGBoost,1,20.49728859535483,25.70661194203002,-0.19847227522049482
SVR (RBF),1,21.34322459941303,25.92662089066502,-0.2190742082864503
DummyRegressor (reference),1,19.042663120747903,23.829622987274142,-0.029846864759994984
Linear Regression (baseline),2,25.999677769280776,31.427839656723734,-0.7912960405106391
Random Forest,2,25.93855523283499,34.34173706650854,-1.138862302156817
XGBoost,2,28.68608613309195,36.77791853745947,-1.4530850260833525
SVR (RBF),2,23.67550170411368,29.463451615367827,-0.5743654622341794
DummyRegressor (reference),2,19.588300525744778,24.251162213967664,-0.06660452459946065
Linear Regression (baseline),3,25.657686092246724,31.57884446850289,-0.8085510705329471
Random Forest,3,19.607715057032113,23.90875017742321,-0.03669751298454882
XGBoost,3,17.95896706169705,22.731369860159884,0.0628922592751695
SVR (RBF),3,20.506903942813278,25.06204645452149,-0.1391249645738326
DummyRegressor (reference),3,19.08669499850814,23.808916420724756,-0.02805788742432247
Linear Regression (baseline),4,24.109780739019037,28.70270312076763,-0.4941145894424488
Random Forest,4,18.386907211474572,22.486871000011497,0.08294292561890448
XGBoost,4,19.279106706874316,23.731638600925734,-0.021395077603628687
SVR (RBF),4,19.25242243196281,23.89672034179115,-0.03565453390092599
DummyRegressor (reference),4,19.141797549606647,23.826118597405884,-0.029543987995929166
