drug_key,drug_group
3-methoxyxanthone,3-methoxyxanthone
5-fluorouracil,5-fluorouracil
acetylpuerarin,acetylpuerarin
anastrozole,anastrozole
artemether,artemether
atractylodin,atractylodin
azithromycin,azithromycin
butyl-4-hydroxybenzoate,butyl-4-hydroxybenzoate
capecitabine,capecitabine
cefpodoxime-proxetil,cefpodoxime-proxetil
cisplatin,cisplatin
clobetasol_propionate,clobetasol-propionate
combretastatin-a4,combretastatin-a4
coumarin-6,coumarin-6
curcumin,curcumin
dexamethasone,dexamethasone
dexibuprofen,dexibuprofen
diazepam,diazepam
diosgenin,diosgenin
dl-α-tocopherol,dl-α-tocopherol
docetaxel,docetaxel
efavirenz,efavirenz
ethyl-4-hydroxybenzoate,ethyl-4-hydroxybenzoate
etoposide,etoposide
finasteride,finasteride
flurbiprofen,flurbiprofen
garcinol,garcinol
gatifloxacin,gatifloxacin
heptyl-4-hydroxybenzoate,heptyl-4-hydroxybenzoate
isoniazid,isoniazid
itraconazole,itraconazole
kartogenin,kartogenin
ketoprofen,ketoprofen
lamotrigine,lamotrigine
levofloxacin,levofloxacin
lopinavir,lopinavir
lorazepam,lorazepam
methyl-4-hydroxybenzoate,methyl-4-hydroxybenzoate
methylene-blue,methylene-blue
mometasone-furoate,mometasone-furoate
niclosamide,niclosamide
octyl-4-hydroxybenzoate,octyl-4-hydroxybenzoate
oxcarbazepine,oxcarbazepine
paclitaxel,paclitaxel
paeonol,paeonol
piperine,piperine
pranoprofen,pranoprofen
procaine_dihydrate,procaine
procaine_hydrochloride,procaine
propyl-4-hydroxybenzoate,propyl-4-hydroxybenzoate
rapamycin,rapamycin
rhodamine-123,rhodamine-123
rhodamine-b,rhodamine-b
rivaroxaban,rivaroxaban
rivastigmine-tartrate,rivastigmine
ropinirole,ropinirole
ropinirole-hydrochloride,ropinirole
rubitecan,rubitecan
salbutamol,salbutamol
sparfloxacin,sparfloxacin
tetrandrine,tetrandrine
tramadol,tramadol
tretinoin,tretinoin
xanthone,xanthone
zinc-protoporphyrin,zinc-protoporphyrin
