,mol_MW,mol_logP,mol_TPSA,mol_melting_point,mol_Hacceptors,mol_Hdonors,mol_heteroatoms,polymer_MW,drug/polymer,surfactant_concentration,aqueous/organic,surfactant_HLB,solvent_polarity_index,LA_GA_ratio,EE
mol_MW,1.0,0.39517501991419013,0.7488583738948581,0.18821685548565759,0.7488778134548243,0.4639491114815572,0.8121424832568013,-0.06625644208992969,-0.07142687433849171,-0.14296581432768235,0.30788593386841484,-0.03345461613409835,0.28740663642521946,-0.2445906570955481,0.11680779911839911
mol_logP,0.39517501991419013,1.0,-0.1843243157231563,0.03859730359804542,-0.08004787630937307,-0.23206309234901404,-0.11005660805688468,0.31062905836989574,-0.01094124318282224,-0.12267592717514503,0.176657277808949,0.00782349344785607,0.1081038656164534,0.1775327667187004,0.22717215631915702
mol_TPSA,0.7488583738948581,-0.1843243157231563,1.0,0.06294976898557278,0.8847692895270541,0.7029018812683343,0.9361852028553607,-0.2774528354411277,-0.05259078606996633,-0.021063691402089645,0.08872221290156858,0.04243869957220699,0.1080112270334069,-0.27940825352638593,0.013196848337190953
mol_melting_point,0.18821685548565759,0.03859730359804542,0.06294976898557278,1.0,0.11127020166922372,-0.0055502527844557645,0.16671414471112164,0.13606973070359119,-0.19547191743342035,-0.12236894978030036,0.3663152338230224,-0.4935885930217289,0.46047854825074575,-0.06997768195441546,-0.075920671754523
mol_Hacceptors,0.7488778134548243,-0.08004787630937307,0.8847692895270541,0.11127020166922372,1.0,0.4502139393399944,0.9192053863288658,-0.25335602107863453,-0.11966817148962007,-0.08154596384705368,0.12570284142546526,-0.051433404326306845,0.055682223243892826,-0.35209836142706047,-0.0624077846630643
mol_Hdonors,0.4639491114815572,-0.23206309234901404,0.7029018812683343,-0.0055502527844557645,0.4502139393399944,1.0,0.6079318496519599,-0.21608880803685035,0.16079118166042805,0.18821473521591056,-0.12250915815537351,0.2384472775455786,-0.17581500132869482,-0.12764930539313435,0.13089354256085128
mol_heteroatoms,0.8121424832568013,-0.11005660805688468,0.9361852028553607,0.16671414471112164,0.9192053863288658,0.6079318496519599,1.0,-0.20780065755136257,-0.08365723481252876,-0.0537466856509305,0.17303907956321377,-0.007626400344237004,0.14405748718059772,-0.36144451727647764,0.02828816273992198
polymer_MW,-0.06625644208992969,0.31062905836989574,-0.2774528354411277,0.13606973070359119,-0.25335602107863453,-0.21608880803685035,-0.20780065755136257,1.0,0.07401009941566182,-0.011890962753988994,0.15825310369357046,-0.007291302565046504,0.0766307204059845,0.4093534313504459,0.15984248093748007
drug/polymer,-0.07142687433849171,-0.01094124318282224,-0.05259078606996633,-0.19547191743342035,-0.11966817148962007,0.16079118166042805,-0.08365723481252876,0.07401009941566182,1.0,0.278329896377007,0.02886761176135596,0.2932846328084575,-0.17111227474019583,0.19492119812243885,0.03578763084520964
surfactant_concentration,-0.14296581432768235,-0.12267592717514503,-0.021063691402089645,-0.12236894978030036,-0.08154596384705368,0.18821473521591056,-0.0537466856509305,-0.011890962753988994,0.278329896377007,1.0,-0.23515558439188486,0.40133853822276444,-0.2713095427464177,0.3436436491252184,0.31177321453453255
aqueous/organic,0.30788593386841484,0.176657277808949,0.08872221290156858,0.3663152338230224,0.12570284142546526,-0.12250915815537351,0.17303907956321377,0.15825310369357046,0.02886761176135596,-0.23515558439188486,1.0,-0.3338865816756616,0.6185683512262496,-0.08919033926205575,-0.11024420906328126
surfactant_HLB,-0.03345461613409835,0.00782349344785607,0.04243869957220699,-0.4935885930217289,-0.051433404326306845,0.2384472775455786,-0.007626400344237004,-0.007291302565046504,0.2932846328084575,0.40133853822276444,-0.3338865816756616,1.0,-0.4544740514366309,0.2229501679685681,0.3013107494957788
solvent_polarity_index,0.28740663642521946,0.1081038656164534,0.1080112270334069,0.46047854825074575,0.055682223243892826,-0.17581500132869482,0.14405748718059772,0.0766307204059845,-0.17111227474019583,-0.2713095427464177,0.6185683512262496,-0.4544740514366309,1.0,-0.03148022774072154,-0.03225065899906213
LA_GA_ratio,-0.2445906570955481,0.1775327667187004,-0.27940825352638593,-0.06997768195441546,-0.35209836142706047,-0.12764930539313435,-0.36144451727647764,0.4093534313504459,0.19492119812243885,0.3436436491252184,-0.08919033926205575,0.2229501679685681,-0.03148022774072154,1.0,0.19074823691223652
EE,0.11680779911839911,0.22717215631915702,0.013196848337190953,-0.075920671754523,-0.0624077846630643,0.13089354256085128,0.02828816273992198,0.15984248093748007,0.03578763084520964,0.31177321453453255,-0.11024420906328126,0.3013107494957788,-0.03225065899906213,0.19074823691223652,1.0
