descriptor,pearson_r,pearson_p,spearman_rho,spearman_p
surfactant_concentration,0.3117732145345322,3.7978090476830516e-11,0.2849064087140239,1.7891789477462928e-09
surfactant_HLB,0.3013107494957788,1.7852137319110308e-10,0.19847298064850033,3.398887444001149e-05
mol_logP,0.22717215631915721,1.941718423329555e-06,0.234605632141278,8.674298133616341e-07
LA_GA_ratio,0.19074823691223666,6.876100510850974e-05,0.2440638600360481,2.9916234932408035e-07
polymer_MW,0.1598424809374799,0.000879985460827761,0.28100860817467066,3.0281562206173515e-09
mol_Hdonors,0.13089354256085112,0.006566421645084612,0.12513786791586837,0.00938836282547072
mol_MW,0.11680779911839921,0.015374778207191813,0.04312293375534812,0.37237779389281955
aqueous/organic,-0.11024420906328103,0.022231374981266795,-0.06411956161945233,0.18447324254763448
mol_melting_point,-0.07592067175452281,0.11594790546874398,-0.03560125019133632,0.46153126198286193
mol_Hacceptors,-0.062407784663064354,0.19649305204784148,-0.2244058871819942,2.6027792872921262e-06
drug/polymer,0.03578763084520974,0.45918771210176346,0.1725716096717547,0.00032425148553669343
solvent_polarity_index,-0.03225065899906219,0.5047780524565074,-0.06771882367961088,0.16098412787174732
mol_heteroatoms,0.02828816273992161,0.5585440825105342,-0.06181244438056188,0.20080459636363335
mol_TPSA,0.013196848337191041,0.7849523963223424,-0.10433811639807218,0.03052498274708805
