drug,n_formulations,n_with_EE,mean_EE,median_EE,min_EE,max_EE,n_publications
flurbiprofen,36,36,80.47,84.72,38.46,97.75,3
lamotrigine,28,28,69.74,70.31,52.39,84.87,2
rivastigmine-tartrate,27,27,72.18,72.27,67.39,76.24,1
lopinavir,27,27,66.51,71.1,21.3,95.7,1
anastrozole,27,27,49.26,49.03,36.66,61.65,1
tramadol,27,27,65.05,66.01,49.23,78.35,1
pranoprofen,26,26,70.9,77.19,0.0,90.85,1
diazepam,26,26,84.31,85.5,69.0,92.0,1
clobetasol_propionate,26,26,79.88,82.64,15.91,96.82,1
lorazepam,26,26,81.55,83.75,65.5,90.1,1
zinc-protoporphyrin,17,17,52.37,50.7,30.6,79.0,1
coumarin-6,14,14,23.83,25.5,3.8,52.3,1
paclitaxel,10,10,79.5,81.82,52.5,87.8,3
procaine_hydrochloride,10,10,27.92,21.4,6.3,62.0,1
ropinirole-hydrochloride,9,9,62.27,64.5,48.9,72.3,1
finasteride,9,9,88.49,90.52,80.28,98.9,1
5-fluorouracil,7,7,7.82,8.52,4.91,8.64,1
sparfloxacin,5,5,53.81,51.83,25.18,86.6,1
procaine_dihydrate,5,5,39.1,39.0,34.8,44.1,1
artemether,5,5,80.86,80.0,78.3,86.9,1
cefpodoxime-proxetil,4,4,35.04,35.08,30.0,40.0,1
dexibuprofen,3,3,88.67,87.5,85.1,93.4,1
etoposide,3,3,67.58,66.11,57.64,78.99,1
itraconazole,3,3,68.67,72.0,61.0,73.0,1
rhodamine-b,3,3,40.33,47.0,18.0,56.0,1
azithromycin,3,3,65.27,66.8,50.5,78.5,1
diosgenin,3,3,69.99,72.8,58.48,78.68,1
garcinol,3,3,67.45,60.61,53.43,88.32,1
ketoprofen,2,2,10.56,10.56,7.91,13.21,1
oxcarbazepine,2,2,70.96,70.96,69.79,72.13,1
dl-α-tocopherol,2,2,89.26,89.26,88.25,90.28,1
combretastatin-a4,2,2,31.5,31.5,31.0,32.0,1
3-methoxyxanthone,1,1,41.5,41.5,41.5,41.5,1
kartogenin,1,1,62.0,62.0,62.0,62.0,1
isoniazid,1,1,10.0,10.0,10.0,10.0,1
gatifloxacin,1,1,34.1,34.1,34.1,34.1,1
heptyl-4-hydroxybenzoate,1,1,7.4,7.4,7.4,7.4,1
ethyl-4-hydroxybenzoate,1,1,1.3,1.3,1.3,1.3,1
docetaxel,1,1,80.5,80.5,80.5,80.5,1
efavirenz,1,1,85.9,85.9,85.9,85.9,1
dexamethasone,1,1,34.57,34.57,34.57,34.57,1
capecitabine,1,1,88.4,88.4,88.4,88.4,1
butyl-4-hydroxybenzoate,1,1,4.9,4.9,4.9,4.9,1
atractylodin,1,1,68.0,68.0,68.0,68.0,1
acetylpuerarin,1,1,90.51,90.51,90.51,90.51,1
curcumin,1,1,48.15,48.15,48.15,48.15,1
cisplatin,1,1,45.13,45.13,45.13,45.13,1
niclosamide,1,1,70.23,70.23,70.23,70.23,1
mometasone-furoate,1,1,90.0,90.0,90.0,90.0,1
piperine,1,1,91.1,91.1,91.1,91.1,1
paeonol,1,1,86.26,86.26,86.26,86.26,1
octyl-4-hydroxybenzoate,1,1,12.3,12.3,12.3,12.3,1
levofloxacin,1,1,15.0,15.0,15.0,15.0,1
methyl-4-hydroxybenzoate,1,1,0.3,0.3,0.3,0.3,1
methylene-blue,1,1,3.12,3.12,3.12,3.12,1
rhodamine-123,1,1,55.3,55.3,55.3,55.3,1
propyl-4-hydroxybenzoate,1,1,2.2,2.2,2.2,2.2,1
ropinirole,1,1,5.4,5.4,5.4,5.4,1
rivaroxaban,1,1,91.35,91.35,91.35,91.35,1
rapamycin,1,1,74.25,74.25,74.25,74.25,1
rubitecan,1,1,33.5,33.5,33.5,33.5,1
tetrandrine,1,1,63.72,63.72,63.72,63.72,1
salbutamol,1,1,25.2,25.2,25.2,25.2,1
tretinoin,1,1,98.8,98.8,98.8,98.8,1
xanthone,1,1,33.0,33.0,33.0,33.0,1
