variable,data_type,n_missing,pct_missing,n_unique,min,max
polymer_MW,float64,0,0.0,38,1.22,236.37
LA/GA,float64,0,0.0,5,1.0,5.67
mol_MW,float64,0,0.0,64,130.08,914.19
mol_logP,float64,0,0.0,63,-1.05,8.91
mol_TPSA,float64,0,0.0,56,13.14,224.45
mol_melting_point,float64,0,0.0,60,49.8,300.0
mol_Hacceptors,int64,0,0.0,12,1.0,15.0
mol_Hdonors,int64,0,0.0,6,0.0,5.0
mol_heteroatoms,int64,0,0.0,14,1.0,16.0
drug/polymer,float64,0,0.0,57,0.002,1.0
surfactant_concentration,float64,0,0.0,25,0.0,2.5
surfactant_HLB,float64,0,0.0,7,0.0,29.0
aqueous/organic,float64,0,0.0,19,1.0,40.0
pH,int64,0,0.0,4,-2.0,1.0
solvent_polarity_index,float64,0,0.0,4,4.0,7.2
particle_size,float64,0,0.0,372,20.2,1012.04
EE,float64,0,0.0,385,0.0,98.9
LC,float64,0,0.0,368,0.0,36.51
small_molecule_name,str,0,0.0,65,,
reference,str,0,0.0,59,,
surfactant_name,str,0,0.0,9,,
solvent,str,0,0.0,4,,
drug_key,str,0,0.0,65,,
