row_index,variable,value,lower_fence,upper_fence,drug,reference
58,polymer_MW,98.0,-37.5,94.5,flurbiprofen,10.1002/jps.21383
59,polymer_MW,98.0,-37.5,94.5,flurbiprofen,10.1002/jps.21383
60,polymer_MW,98.0,-37.5,94.5,flurbiprofen,10.1002/jps.21383
187,polymer_MW,98.0,-37.5,94.5,flurbiprofen,10.1002/jps.20685
188,polymer_MW,98.0,-37.5,94.5,flurbiprofen,10.1002/jps.20685
189,polymer_MW,98.0,-37.5,94.5,flurbiprofen,10.1002/jps.20685
190,polymer_MW,98.0,-37.5,94.5,flurbiprofen,10.1002/jps.20685
191,polymer_MW,98.0,-37.5,94.5,flurbiprofen,10.1002/jps.20685
192,polymer_MW,98.0,-37.5,94.5,flurbiprofen,10.1002/jps.20685
193,polymer_MW,98.0,-37.5,94.5,flurbiprofen,10.1002/jps.20685
194,polymer_MW,98.0,-37.5,94.5,flurbiprofen,10.1002/jps.20685
195,polymer_MW,98.0,-37.5,94.5,flurbiprofen,10.1002/jps.20685
196,polymer_MW,98.0,-37.5,94.5,flurbiprofen,10.1002/jps.20685
197,polymer_MW,98.0,-37.5,94.5,flurbiprofen,10.1002/jps.20685
198,polymer_MW,98.0,-37.5,94.5,flurbiprofen,10.1002/jps.20685
199,polymer_MW,98.0,-37.5,94.5,flurbiprofen,10.1002/jps.20685
200,polymer_MW,98.0,-37.5,94.5,flurbiprofen,10.1002/jps.20685
201,polymer_MW,98.0,-37.5,94.5,flurbiprofen,10.1002/jps.20685
202,polymer_MW,98.0,-37.5,94.5,flurbiprofen,10.1002/jps.20685
212,polymer_MW,95.5,-37.5,94.5,ropinirole,10.1016/j.ijpharm.2020.119776
352,polymer_MW,95.5,-37.5,94.5,flurbiprofen,10.1016/j.colsurfb.2009.03.028
353,polymer_MW,236.37,-37.5,94.5,curcumin,10.1007/s10965-020-02092-7
354,polymer_MW,236.37,-37.5,94.5,niclosamide,10.1007/s10965-020-02092-7
409,polymer_MW,108.95,-37.5,94.5,mometasone-furoate,10.1021/acsomega.0c00111
58,LA/GA,3.0,1.0,1.0,flurbiprofen,10.1002/jps.21383
59,LA/GA,3.0,1.0,1.0,flurbiprofen,10.1002/jps.21383
60,LA/GA,3.0,1.0,1.0,flurbiprofen,10.1002/jps.21383
61,LA/GA,3.0,1.0,1.0,docetaxel,10.1039/c7bm01206c
135,LA/GA,2.33,1.0,1.0,rhodamine-B,10.3390/nano11030749
144,LA/GA,1.86,1.0,1.0,coumarin-6,10.1007/s00396-016-4007-3
145,LA/GA,5.67,1.0,1.0,coumarin-6,10.1007/s00396-016-4007-3
